date,count,eta
2014-09-15 12:00:00,110.0,0.4
2014-09-15 14:00:00,140.0,0.42
2014-09-15 16:00:00,150.0,0.43
2014-09-15 18:00:00,120.0,0.44
2014-09-15 20:00:00,140.0,0.44
2014-09-15 22:00:00,120.0,0.44
2014-09-16 00:00:00,240.0,0.47
2014-09-16 02:00:00,120.0,0.47
2014-09-16 04:00:00,57.0,0.45
2014-09-16 06:00:00,48.0,0.43
2014-09-16 08:00:00,78.0,0.42
2014-09-16 10:00:00,57.0,0.41
2014-09-16 12:00:00,87.0,0.41
2014-09-16 14:00:00,100.0,0.42
2014-09-16 16:00:00,130.0,0.43
2014-09-16 18:00:00,93.0,0.43
2014-09-16 20:00:00,100.0,0.44
2014-09-16 22:00:00,49.0,0.43
2014-09-17 00:00:00,260.0,0.46
2014-09-17 02:00:00,290.0,0.5
2014-09-17 04:00:00,190.0,0.52
2014-09-17 06:00:00,110.0,0.51
2014-09-17 08:00:00,65.0,0.48
2014-09-17 10:00:00,120.0,0.47
2014-09-17 12:00:00,160.0,0.49
2014-09-17 14:00:00,180.0,0.51
2014-09-17 16:00:00,140.0,0.51
2014-09-17 18:00:00,180.0,0.52
2014-09-17 20:00:00,140.0,0.52
2014-09-17 22:00:00,130.0,0.52
2014-09-18 00:00:00,170.0,0.53
2014-09-18 02:00:00,93.0,0.52
2014-09-18 04:00:00,57.0,0.5
2014-09-18 06:00:00,59.0,0.49
2014-09-18 08:00:00,55.0,0.47
2014-09-18 10:00:00,38.0,0.46
2014-09-18 12:00:00,72.0,0.46
2014-09-18 14:00:00,120.0,0.47
2014-09-18 16:00:00,77.0,0.47
2014-09-18 18:00:00,76.0,0.47
2014-09-18 20:00:00,76.0,0.46
2014-09-18 22:00:00,67.0,0.45
2014-09-19 00:00:00,86.0,0.46
2014-09-19 02:00:00,92.0,0.46
2014-09-19 04:00:00,95.0,0.47
2014-09-19 06:00:00,140.0,0.48
2014-09-19 08:00:00,280.0,0.52
2014-09-19 10:00:00,400.0,0.58
2014-09-19 12:00:00,320.0,0.61
2014-09-19 14:00:00,370.0,0.64
2014-09-19 16:00:00,480.0,0.68
2014-09-19 18:00:00,1200.0,0.76
2014-09-19 20:00:00,1400.0,0.82
2014-09-19 22:00:00,510.0,0.82
2014-09-20 00:00:00,290.0,0.81
2014-09-20 02:00:00,750.0,0.86
2014-09-20 04:00:00,480.0,0.88
2014-09-20 06:00:00,440.0,0.89
2014-09-20 08:00:00,420.0,0.9
2014-09-20 10:00:00,340.0,0.89
2014-09-20 12:00:00,440.0,0.91
2014-09-20 14:00:00,880.0,0.98
2014-09-20 16:00:00,420.0,0.98
2014-09-20 18:00:00,290.0,0.96
2014-09-20 20:00:00,190.0,0.93
2014-09-20 22:00:00,150.0,0.88
2014-09-21 00:00:00,820.0,0.96
2014-09-21 02:00:00,220.0,0.94
2014-09-21 04:00:00,160.0,0.9
2014-09-21 06:00:00,130.0,0.86
2014-09-21 08:00:00,160.0,0.83
2014-09-21 10:00:00,510.0,0.9
2014-09-21 12:00:00,320.0,0.93
2014-09-21 14:00:00,430.0,0.98
2014-09-21 16:00:00,160.0,0.94
2014-09-21 18:00:00,190.0,0.92
2014-09-21 20:00:00,90.0,0.86
2014-09-21 22:00:00,86.0,0.81
2014-09-22 00:00:00,1000.0,0.92
2014-09-22 02:00:00,310.0,0.94
2014-09-22 04:00:00,190.0,0.93
2014-09-22 06:00:00,210.0,0.92
2014-09-22 08:00:00,88.0,0.86
2014-09-22 10:00:00,450.0,0.91
2014-09-22 12:00:00,260.0,0.92
2014-09-22 14:00:00,230.0,0.93
2014-09-22 16:00:00,130.0,0.88
2014-09-22 18:00:00,340.0,0.89
2014-09-22 20:00:00,180.0,0.86
2014-09-22 22:00:00,180.0,0.83
2014-09-23 00:00:00,1100.0,0.91
2014-09-23 02:00:00,430.0,0.9
2014-09-23 04:00:00,160.0,0.79
2014-09-23 06:00:00,340.0,0.78
2014-09-23 08:00:00,280.0,0.8
2014-09-23 10:00:00,350.0,0.8
2014-09-23 12:00:00,570.0,0.84
2014-09-23 14:00:00,390.0,0.86
2014-09-23 16:00:00,48.0,0.78
